week,SST,day,month,year
481,28.17,14,3,1999
482,28.70105882,21,3,1999
483,28.84458824,28,3,1999
484,28.98808824,4,4,1999
485,29.46588235,4,11,1999
486,29.7325,18,4,1999
487,29.42097059,25,4,1999
488,29.59105882,5,2,1999
489,29.50758824,5,9,1999
490,29.50244118,16,5,1999
491,29.15638235,23,5,1999
492,29.04979412,30,5,1999
493,29.1225,6,6,1999
494,28.86267647,13,6,1999
495,28.69629412,20,6,1999
496,28.76373529,27,6,1999
497,28.80373529,7,4,1999
498,28.81652941,7,11,1999
499,28.67558824,18,7,1999
500,28.50844118,25,7,1999
501,28.44923529,8,1,1999
502,28.41167647,8,8,1999
503,28.54117647,15,8,1999
504,28.62564706,22,8,1999
505,28.498,29,8,1999
506,28.38432353,9,5,1999
507,28.43105882,9,12,1999
508,28.429,19,9,1999
509,28.97623529,26,9,1999
510,29.07135294,10,3,1999
511,28.81070588,10,10,1999
512,28.71167647,17,10,1999
513,28.85273529,24,10,1999
514,28.56341176,31,10,1999
515,28.36955882,11,7,1999
516,28.22344118,14,11,1999
517,27.87729412,21,11,1999
518,27.63779412,28,11,1999
519,27.40697059,12,5,1999
520,26.97573529,12,12,1999
521,26.68567647,19,12,1999
522,26.45523529,26,12,1999
523,26.09467647,1,2,2000
524,26.35614706,1,9,2000
525,26.41467647,16,1,2000
526,26.61414706,23,1,2000
527,26.57532353,30,1,2000
528,26.50970588,2,6,2000
529,26.61394118,13,2,2000
530,26.99232353,20,2,2000
531,27.22914706,27,2,2000
532,27.47047059,3,5,2000
533,27.61426471,3,12,2000
534,28.11691176,19,3,2000
535,28.15779412,26,3,2000
536,28.41708824,4,2,2000
537,28.76455882,4,9,2000
538,29.15955882,16,4,2000
539,29.39891176,23,4,2000
540,29.44232353,30,4,2000
541,29.77020588,5,7,2000
542,29.70344118,14,5,2000
543,29.53652941,21,5,2000
544,29.40555882,28,5,2000
545,29.15814706,6,4,2000
546,29.22952941,6,11,2000
547,29.12779412,18,6,2000
548,29.18058824,25,6,2000
549,29.13873529,7,2,2000
550,28.78170588,7,9,2000
551,28.80108824,16,7,2000
552,28.75794118,23,7,2000
553,29.10667647,30,7,2000
554,28.863,8,6,2000
555,28.88217647,13,8,2000
556,28.72785294,20,8,2000
557,28.59826471,27,8,2000
558,28.58297059,9,3,2000
559,28.68679412,9,10,2000
560,28.882,17,9,2000
561,29.11773529,24,9,2000
562,29.10885294,10,1,2000
563,29.16932353,10,8,2000
564,28.98732353,15,10,2000
565,28.81326471,22,10,2000
566,28.76711765,29,10,2000
567,28.73532353,11,5,2000
568,28.32664706,11,12,2000
569,27.98885294,19,11,2000
570,27.74158824,26,11,2000
571,27.33726471,12,3,2000
572,27.05382353,12,10,2000
573,26.84111765,17,12,2000
574,26.68211765,24,12,2000
575,26.35476471,31,12,2000
576,26.44208824,1,7,2001
577,26.32670588,14,1,2001
578,26.445,21,1,2001
579,26.48138235,28,1,2001
580,26.74852941,2,4,2001
581,26.75255882,2,11,2001
582,27.16311765,18,2,2001
583,27.38823529,25,2,2001
584,27.77608824,3,4,2001
585,27.90388235,3,11,2001
586,28.44591176,18,3,2001
587,28.77255882,25,3,2001
588,29.33614706,4,1,2001
589,29.72435294,4,8,2001
590,29.75938235,15,4,2001
591,30.08597059,22,4,2001
592,30.37617647,29,4,2001
593,30.1275,5,6,2001
594,29.98044118,13,5,2001
595,29.98429412,20,5,2001
596,29.76191176,27,5,2001
597,29.67914706,6,3,2001
598,29.28179412,6,10,2001
599,29.20767647,17,6,2001
600,28.78452941,24,6,2001
601,28.894,7,1,2001
602,28.78194118,7,8,2001
603,28.89676471,15,7,2001
604,28.94376471,22,7,2001
605,28.92888235,29,7,2001
606,28.78379412,8,5,2001
607,28.69755882,8,12,2001
608,28.72961765,19,8,2001
609,28.61620588,26,8,2001
610,28.97620588,9,2,2001
611,29.14955882,9,9,2001
612,29.21761765,16,9,2001
613,29.34320588,23,9,2001
614,29.15270588,30,9,2001
615,29.20338235,10,7,2001
616,29.43855882,14,10,2001
617,29.53655882,21,10,2001
618,29.38170588,28,10,2001
619,29.16026471,11,4,2001
620,28.65611765,11,11,2001
621,28.36932353,18,11,2001
622,28.20976471,25,11,2001
623,27.9935,12,2,2001
624,27.53132353,12,9,2001
625,27.46282353,16,12,2001
626,26.71467647,23,12,2001
627,26.55685294,30,12,2001
628,26.21455882,1,6,2002
629,26.53182353,13,1,2002
630,26.60235294,20,1,2002
631,26.67317647,27,1,2002
632,26.60464706,2,3,2002
633,26.6625,2,10,2002
634,26.77214706,17,2,2002
635,27.10952941,24,2,2002
636,27.43920588,3,3,2002
637,27.66714706,3,10,2002
638,27.69220588,17,3,2002
639,28.43394118,24,3,2002
640,28.84776471,31,3,2002
641,29.36902941,4,7,2002
642,29.62141176,14,4,2002
643,30.00988235,21,4,2002
644,30.08273529,28,4,2002
645,30.09055882,5,5,2002
646,29.61764706,5,12,2002
647,29.51497059,19,5,2002
648,29.53473529,26,5,2002
649,29.59794118,6,2,2002
650,29.49829412,6,9,2002
651,29.50982353,16,6,2002
652,29.36085294,23,6,2002
653,29.39058824,30,6,2002
654,29.40773529,7,7,2002
655,29.32620588,14,7,2002
656,29.15914706,21,7,2002
657,29.02258824,28,7,2002
658,28.8875,8,4,2002
659,28.76847059,8,11,2002
660,28.40258824,18,8,2002
661,28.84220588,25,8,2002
662,28.73655882,9,1,2002
663,28.51797059,9,8,2002
664,28.63964706,15,9,2002
665,28.67582353,22,9,2002
666,29.37185294,29,9,2002
667,29.30594118,10,6,2002
668,28.96017647,13,10,2002
669,29.19732353,20,10,2002
670,29.00520588,27,10,2002
671,28.71632353,11,3,2002
672,28.39141176,11,10,2002
673,28.36035294,17,11,2002
674,28.07773529,24,11,2002
675,28.07108824,12,1,2002
676,27.45041176,12,8,2002
677,27.02120588,15,12,2002
678,26.64876471,22,12,2002
679,26.27994118,29,12,2002
680,26.31894118,1,5,2003
681,26.26229412,1,12,2003
682,25.90608824,19,1,2003
683,26.03652941,26,1,2003
684,26.16770588,2,2,2003
685,26.56623529,2,9,2003
686,26.79944118,16,2,2003
687,26.96873529,23,2,2003
688,27.48332353,3,2,2003
689,27.28382353,3,9,2003
690,27.56120588,16,3,2003
691,28.15676471,23,3,2003
692,28.55797059,30,3,2003
693,29.35344118,4,6,2003
694,29.50029412,13,4,2003
695,29.73714706,20,4,2003
696,29.93111765,27,4,2003
697,30.1645,5,4,2003
698,29.91094118,5,11,2003
699,29.43314706,18,5,2003
700,29.48597059,25,5,2003
701,29.49167647,6,1,2003
702,29.40861765,6,8,2003
703,29.27173529,15,6,2003
704,29.10920588,22,6,2003
705,28.81641176,29,6,2003
706,28.90964706,7,6,2003
707,28.87914706,13,7,2003
708,28.77926471,20,7,2003
709,28.74823529,27,7,2003
710,28.57735294,8,3,2003
711,28.57170588,8,10,2003
712,28.94120588,17,8,2003
713,28.89205882,24,8,2003
714,28.30794118,31,8,2003
